"RMSE";"Rsquared";"MAE";"Model";"Floor";"Building";"LongLat";"approach"
10,4143440411842;0,936256632051208;8,27629356906253;"glmnet";"F1";"B1";"Long";"Test&Train"
5,36494349464737;0,981837643939859;2,92214409454133;"rf";"F1";"B1";"Lat";"Test&Train"
4,13253283433653;0,989000271848104;2,747192004306;"rf";"F1";"B1";"Long";"Test&Train"
4,72951806731162;0,985017632731886;2,09027169914916;"knn";"F1";"B1";"Lat";"Test&Train"
3,58960509265934;0,991807297792228;1,75049498052458;"knn";"F1";"B1";"Long";"Test&Train"
3,80327420789321;0,910649690896901;1,99856750596137;"kknn";"F3";"B1";"Lat";"Test&Train"
4,03310523600984;0,986405273338292;2,21093734636214;"kknn";"F3";"B1";"Long";"Test&Train"
6,81639816303677;0,70010090416784;5,25202386392547;"glmnet";"F3";"B1";"Lat";"Test&Train"
7,70754245330768;0,949961382485639;6,05933023744468;"glmnet";"F3";"B1";"Long";"Test&Train"
2,64909861109815;0,951397406538482;1,79152306194107;"rf";"F3";"B1";"Lat";"Test&Train"
3,48878454387764;0,989790682366104;1,95478054937597;"rf";"F3";"B1";"Long";"Test&Train"
3,03040311085833;0,94737344256431;1,6585046384661;"knn";"F3";"B1";"Lat";"Test&Train"
3,47054637250908;0,989958885785636;2,12948194673375;"knn";"F3";"B1";"Long";"Test&Train"
4,77336551328168;0,944131854155625;1,9403599516693;"kknn";"F3";"B2";"Lat";"Test&Train"
3,82822709080466;0,978300934802517;1,65461224166349;"kknn";"F3";"B2";"Long";"Test&Train"
8,45972924178794;0,835822916584758;6,58868704642192;"glmnet";"F3";"B2";"Lat";"Test&Train"
8,67284470428022;0,888670436993336;6,0703736448602;"glmnet";"F3";"B2";"Long";"Test&Train"
2,77553291170149;0,981248244749134;1,68432509091085;"rf";"F3";"B2";"Lat";"Test&Train"
3,32574386301481;0,984140186841423;1,88885781481756;"rf";"F3";"B2";"Long";"Test&Train"
2,3050874110509;0,986803060304382;1,37020544657499;"knn";"F3";"B2";"Lat";"Test&Train"
2,23202862847627;0,992590941888403;1,39376461442696;"knn";"F3";"B2";"Long";"Test&Train"
2,31535668166203;0,984679667236609;1,28160314733493;"kknn";"F2";"B2";"Lat";"Test&Train"
2,78153989884567;0,988933144254704;1,31961391296877;"kknn";"F2";"B2";"Long";"Test&Train"
